Generación,Fitness
1,2392
2,2303
3,2248
4,2002
5,1924
6,1924
7,1924
8,1924
9,1924
10,1924
11,1924
12,1924
13,1924
14,1924
15,1924
16,1924
17,1924
18,1924
19,1924
20,1924
21,1924
22,1924
23,1924
24,1924
25,1924
26,1924
27,1887
28,1887
29,1887
30,1887
31,1887
32,1869
33,1869
34,1869
35,1869
36,1869
37,1869
38,1869
39,1869
40,1869
41,1869
42,1869
43,1869
44,1869
45,1869
46,1869
47,1869
48,1869
49,1869
50,1869
