Generación,Fitness
1,2392
2,2063
3,2063
4,2035
5,2035
6,2035
7,2035
8,2001
9,1935
10,1858
11,1858
12,1858
13,1827
14,1827
15,1819
16,1819
17,1819
18,1819
19,1819
20,1819
21,1819
22,1819
23,1819
24,1819
25,1819
26,1819
27,1819
28,1819
29,1819
30,1819
31,1819
32,1804
33,1804
34,1804
35,1804
36,1804
37,1804
38,1785
39,1785
40,1785
41,1785
42,1785
43,1785
44,1785
45,1785
46,1785
47,1785
48,1785
49,1785
50,1785
