Generación,Fitness
1,2392
2,2212
3,2029
4,2029
5,2029
6,2015
7,1951
8,1951
9,1951
10,1951
11,1951
12,1951
13,1894
14,1894
15,1894
16,1894
17,1894
18,1894
19,1884
20,1884
21,1884
22,1884
23,1884
24,1884
25,1876
26,1876
27,1876
28,1876
29,1876
30,1876
31,1876
32,1876
33,1876
34,1876
35,1876
36,1876
37,1876
38,1876
39,1876
40,1876
41,1876
42,1768
43,1768
44,1768
45,1768
46,1768
47,1768
48,1768
49,1768
50,1768
